,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,host_temperature,host_mass,host_radius
2500,Kepler-224 b,2609.0,2.51 Earths,15.636,2014,Super Earth,1.39 x Earth,0.038 AU,3.1 days,0.0,Kepler-223,Transit,88.0,0.28,,1.12,1.72
2501,Kepler-224 c,2609.0,9.91 Earths,15.636,2014,Neptune-like,0.278 x Jupiter,0.058 AU,5.9 days,0.0,Kepler-224,Transit,,,5018.0,,0.68
2502,Kepler-224 d,2609.0,5.9 Earths,15.636,2014,Neptune-like,0.205 x Jupiter,0.089 AU,11.3 days,0.0,Kepler-224,Transit,,,5018.0,,0.68
2503,Kepler-224 e,2609.0,4.54 Earths,15.636,2014,Super Earth,1.97 x Earth,0.124 AU,18.6 days,0.0,Kepler-224,Transit,,,5018.0,,0.68
2504,Kepler-225 b,1859.0,1.87 Earths,15.95,2014,Super Earth,1.2 x Earth,0.056 AU,6.7 days,0.0,Kepler-224,Transit,,,5018.0,,0.68
2505,Kepler-225 c,1859.0,4.04 Earths,15.95,2014,Super Earth,1.84 x Earth,0.111 AU,18.8 days,0.0,Kepler-225,Transit,,,3682.0,,0.48
2506,Kepler-226 b,3289.0,24 Earths,15.403,2014,Super Earth,1.55 x Earth,0.047 AU,3.9 days,0.0,Kepler-225,Transit,,,3682.0,,0.48
2507,Kepler-226 c,3289.0,0.142 Jupiters,15.403,2014,Super Earth,0.203 x Jupiter,0.058 AU,5.3 days,0.0,Kepler-226,Transit,,,5571.0,,0.8
2508,Kepler-226 d,3289.0,1.98 Earths,15.403,2014,Super Earth,1.22 x Earth,0.076 AU,8.1 days,0.0,Kepler-226,Transit,,,5571.0,,0.8
2509,Kepler-227 b,3645.0,9.85 Earths,15.323,2014,Neptune-like,0.277 x Jupiter,0.09 AU,9.5 days,0.0,Kepler-226,Transit,,,5571.0,,0.8
2510,Kepler-227 c,3645.0,9.48 Earths,15.323,2014,Neptune-like,0.271 x Jupiter,0.29 AU,54.4 days,0.0,Kepler-227,Transit,,,5854.0,,1.09
2511,Kepler-228 b,5626.0,2.96 Earths,15.704,2014,Super Earth,1.53 x Earth,0.038 AU,2.6 days,0.0,Kepler-227,Transit,,,5854.0,,1.09
2512,Kepler-228 c,5626.0,7.75 Earths,15.704,2014,Neptune-like,0.241 x Jupiter,0.052 AU,4.1 days,0.0,Kepler-228,Transit,,,6043.0,,1.01
2513,Kepler-228 d,5626.0,15.4 Earths,15.704,2014,Neptune-like,0.36 x Jupiter,0.101 AU,11.1 days,0.0,Kepler-228,Transit,,,6043.0,,1.01
2514,Kepler-229 b,2759.0,5.48 Earths,15.826,2014,Neptune-like,2.2 x Earth,0.062 AU,6.3 days,0.0,Kepler-228,Transit,,,6043.0,,1.01
2515,Kepler-229 c,2759.0,21.5 Earths,15.826,2014,Neptune-like,0.439 x Jupiter,0.117 AU,16.1 days,0.0,Kepler-229,Transit,,,5120.0,,0.73
2516,Kepler-229 d,2759.0,14.2 Earths,15.826,2014,Neptune-like,0.343 x Jupiter,0.22 AU,41.2 days,0.0,Kepler-229,Transit,,,5120.0,,0.73
2517,Kepler-22 b,620.0,36 Earths,11.644,2011,Super Earth,0.212 x Jupiter,0.849 AU,289.9 days,0.0,Kepler-229,Transit,,,5120.0,,0.73
2518,Kepler-230 b,2468.0,16.8 Earths,15.073,2014,Neptune-like,0.38 x Jupiter,0.191 AU,32.6 days,0.0,Kepler-23,Transit,,,5828.0,,1.55
2519,Kepler-230 c,2468.0,4.82 Earths,15.073,2014,Super Earth,2.04 x Earth,0.38 AU,91.8 days,0.0,Kepler-23,Transit,,,5828.0,,1.55
2520,Kepler-231 b,1042.0,35.4 Earths,15.39,2014,Super Earth,1.73 x Earth,0.074 AU,10.1 days,0.0,Kepler-23,Transit,,,5828.0,,1.55
2521,Kepler-231 c,1042.0,24.1 Earths,15.39,2014,Super Earth,1.93 x Earth,0.114 AU,19.3 days,0.0,Kepler-230,Transit,,,5588.0,,0.82
2522,Kepler-232 b,4576.0,9.69 Earths,15.32,2014,Neptune-like,0.275 x Jupiter,0.054 AU,4.4 days,0.0,Kepler-230,Transit,,,5588.0,,0.82
2523,Kepler-232 c,4576.0,14 Earths,15.32,2014,Neptune-like,0.342 x Jupiter,0.101 AU,11.4 days,0.0,Kepler-231,Transit,,,3767.0,,0.49
2524,Kepler-233 b,2863.0,6.48 Earths,15.326,2014,Neptune-like,0.217 x Jupiter,0.077 AU,8.5 days,0.0,Kepler-231,Transit,,,3767.0,,0.49
2525,Kepler-233 c,2863.0,7.8 Earths,15.326,2014,Neptune-like,0.242 x Jupiter,0.287 AU,60.4 days,0.0,Kepler-232,Transit,,,5847.0,,0.97
2526,Kepler-234 b,5940.0,13.2 Earths,15.501,2014,Neptune-like,0.33 x Jupiter,0.04 AU,2.7 days,0.0,Kepler-232,Transit,,,5847.0,,0.97
2527,Kepler-234 c,5940.0,12.1 Earths,15.501,2014,Neptune-like,0.313 x Jupiter,0.077 AU,7.2 days,0.0,Kepler-233,Transit,,,5360.0,,0.76
2528,Kepler-235 b,1413.0,5.6 Earths,15.969,2014,Neptune-like,2.23 x Earth,0.037 AU,3.3 days,0.0,Kepler-233,Transit,,,5360.0,,0.76
2529,Kepler-235 c,1413.0,2.18 Earths,15.969,2014,Super Earth,1.28 x Earth,0.065 AU,7.8 days,0.0,Kepler-234,Transit,,,6224.0,,1.11
2530,Kepler-235 d,1413.0,4.86 Earths,15.969,2014,Super Earth,2.05 x Earth,0.122 AU,20.1 days,0.0,Kepler-234,Transit,,,6224.0,,1.11
2531,Kepler-235 e,1413.0,5.56 Earths,15.969,2014,Neptune-like,2.22 x Earth,0.213 AU,46.2 days,0.0,Kepler-235,Transit,,,4255.0,,0.55
2532,Kepler-236 b,950.0,3.09 Earths,15.374,2014,Super Earth,1.57 x Earth,0.065 AU,8.3 days,0.0,Kepler-235,Transit,,,4255.0,,0.55
2533,Kepler-236 c,950.0,4.66 Earths,15.374,2014,Super Earth,2.0 x Earth,0.132 AU,24 days,0.0,Kepler-235,Transit,,,4255.0,,0.55
2534,Kepler-237 b,2187.0,2.57 Earths,15.283,2014,Super Earth,1.41 x Earth,0.05 AU,4.7 days,0.0,Kepler-235,Transit,,,4255.0,,0.55
2535,Kepler-237 c,2187.0,4.98 Earths,15.283,2014,Super Earth,2.08 x Earth,0.071 AU,8.1 days,0.0,Kepler-236,Transit,,,3750.0,,0.51
2536,Kepler-238 b,6190.0,3.64 Earths,15.024,2014,Super Earth,1.73 x Earth,0.034 AU,2.1 days,0.0,Kepler-236,Transit,,,3750.0,,0.51
2537,Kepler-238 c,6190.0,6.3 Earths,15.024,2014,Neptune-like,0.213 x Jupiter,0.069 AU,6.2 days,0.0,Kepler-237,Transit,,,4861.0,,0.72
2538,Kepler-238 d,6190.0,9.64 Earths,15.024,2014,Neptune-like,0.274 x Jupiter,0.115 AU,13.2 days,0.0,Kepler-237,Transit,,,4861.0,,0.72
2539,Kepler-238 e,6190.0,0.534 Jupiters,15.024,2013,Neptune-like,0.5 x Jupiter,Unknown,23.7 days,0.0,Kepler-238,Transit,,,5751.0,,1.43
2540,Kepler-238 f,6190.0,13.5 Earths,15.024,2013,Super Earth,2.0 x Earth,Unknown,50.4 days,0.0,Kepler-238,Transit,,,5751.0,,1.43
2541,Kepler-239 b,2153.0,6.04 Earths,15.233,2014,Neptune-like,0.208 x Jupiter,0.095 AU,11.8 days,0.0,Kepler-238,Transit,,,5751.0,,1.43
2542,Kepler-239 c,2153.0,6.85 Earths,15.233,2014,Neptune-like,0.224 x Jupiter,0.268 AU,56.2 days,0.0,Kepler-238,Transit,,,5751.0,,1.43
2543,Kepler-23 b,2793.0,0.8 Jupiters,13.401,2011,Neptune-like,1.9 x Earth,0.075 AU,7.1 days,0.06,Kepler-238,Transit,,,5751.0,,1.43
2544,Kepler-23 c,2793.0,2.7 Jupiters,13.401,2011,Neptune-like,0.285 x Jupiter,0.099 AU,10.7 days,0.02,Kepler-239,Transit,,,4914.0,,0.76
2545,Kepler-23 d,2793.0,17.6 Earths,13.401,2014,Super Earth,2.2 x Earth,0.124 AU,15.3 days,0.08,Kepler-239,Transit,,,4914.0,,0.76
2546,Kepler-240 b,2488.0,2.45 Earths,15.662,2014,Super Earth,1.37 x Earth,0.048 AU,4.1 days,0.0,Kepler-24,Transit,,,5897.0,,1.29
2547,Kepler-240 c,2488.0,0.322 Jupiters,15.662,2014,Super Earth,2.2 x Earth,0.074 AU,8 days,0.0,Kepler-24,Transit,,,5897.0,,1.29
